Category,Sr. No,Name of Author1,Name of Author2,Name of Author 3,Title of Research,Journal name,ISSN No,Volume,Issue,Month,Year,Academic Year,Publishers,Pages,Indexing: scopus /WoS/Sci/UGC/other,DOI,Google drive link,"Credit point, 15/14/7/5",,Dept
Faculty Paper PHD,1,K.R.Nirmal,K.V.V Satyanarayana,,Validating the Effect of Different Discretization Methods for Redic K-Prototype Clustering Algorithm,International Journal of Innovative Technology and Exploring Engineering,2278-3075,6,6,June,2019,2018-19,Blue Eyes Intelligence Engineering & Sciences Publication,2231-2236,Scopus,https://www.ijitee.org/wp-content/uploads/papers/v8i8/H7143068819.pdf,Click Here,15,2012-13,Computer
Faculty Paper PHD,2,K.R.Nirmal,K.V.V Satyanarayana,,REDIC K–Prototype Clustering Algorithm for Mixed Data (Numerical and Categorical Data),International Journal of Recent Technology and Engineering,2277-3878,7,6,March,2019,2018-19,Blue Eyes Intelligence Engineering & Sciences Publication,01-Jun,Scopus,https://www.ijrte.org/wp-content/uploads/papers/v7i6/E1924017519.pdf,Click Here,15,2013-14,Computer
Faculty Paper PHD,3,K.R.Nirmal,K.V.V Satyanarayana,,Issues of k means clustering while migrating to map reduce paradigm with big data: A survey,International Journal of Electrical and Computer Engineering,2722-2578,6,6,January,2016,2015-16,IAES Institute of Advanced Engineering and Science,3047,Scopus,http://doi.org/10.11591/ijece.v6i6.pp3047-3051,Click Here,15,2014-15,Computer
Faculty Paper PHD,4,K.R.Nirmal,K.V.V Satyanarayana,,Map Reduce based REmoving Dependency on K and Initial Centroid Selection MR-REDIC Algorithm for clustering of Mixed Data,International Journal of Advanced Computer Science and Applications (IJACSA),2156-5570,11,2,,2020,2019-20,The Science and Information (SAI) Organization,733,"Scopus, ESCI",10.14569/IJACSA.2020.0110292,Click Here,15,2015-16,Computer
,5,M. R. Sanghavi,,,Regional Level Project Competition,CSI Access Magezine,,-,-,March,2018,2017-18,CSI Nashik Chapter,-,,,,,2017-18,Computer
Student Paper,6,B. A. Khivsara,Dhanashri Patil,Kamlesh Jain,Smart Street Light Management System,International Journal on Emerging Trends in Technology,2455-0124,4,1,April,2017,2016-17,Sandip Foundation,-,,https://www.ijett.in/index.php/IJETT/article/view/286,,5,2018-19,Computer
Student Paper,7,B. A. Khivsara,"Kale Ruchira,","Naval Mayuri,",Career Guidance System,International Journal on Emerging Trends in Technology,2455-0124,4,1,April,2017,2016-17,Sandip Foundation,-,,https://www.ijett.in/index.php/IJETT/article/view/293,,5,2019-20,Computer
Student Paper,8,D. R. Agrawal,Patil Dipali,More Bhgyashri,online job portal,IJMTER,2349-9745,3,4,APRIL,2016,2015-16,"SNJB,KBJ COE,Chandwad","25, 26",,https://www.ijmter.com/published_special_issues/28-04-2016/online-job-portal.pdf,Click Here,5,2020-21,Computer
Student Paper,9,D. P. Pawar,Pragati Kaswa,Gauri Lodha,Survey on clustering Techniques in Data Mining,International Journal of Modern Trends in Engineering and Research (IJMTER),2349-9745,3,4,April,2016,2015-16,"SNJB,KBJ COE,Chandwad",-,,,,0,2021-22,Computer
Student Paper,10,R. R.Bhandari,Ms.Mamta Bora,Ms. Roshni Chordiya,Research Paper on i-Residancy,"IJCA, USA",0975-8887,164,4,,2017,2016-17,,1 to 4,,,,0,2022-23,Computer
Faculty Paper PHD,11,R. R.Bhandari,K. Rajashekhar,,Study on Improving the Network Life Time Maximazation for Wireless Sensor Network using Cross Layer Approach,"IJECE, Indonesia",2088-8708,6,6,,2016,2015-16,,3080-3086,,Repeat Entry,,0,,Computer
Faculty Paper,12,R. R.Bhandari,K.R.Nirmal,,Effectual Bio-Inspired Algorithm for Wireless Sensor Networks,IJMTER,2349-9745,Special Edition,,July,2015,2015-16,,,,https://www.ijmter.com/published_special_issues/07-02-2015/effectual-bio-inspired-algorithm-for-wireless-sensor-networks.pdf,,5,,Computer
Student Paper,13,D. S. Rajnor,Ms. Darshana Kakade,Ms. Roshani Thakare,Jar Distribution System,IJSTMR,2456-0006,Volume 2,Issue 4,April,2017,2016-17,,43961,,,,0,,Computer
Student Paper,14,D. S. Rajnor,YEOLE AKSHAY,MUNOT SANDESH PARASSING,Smart Eye,IJSTMR,2456-0006,Volume 2,Issue 4,April,2017,2016-17,,22-47,,,,0,,Computer
Student Paper,15,M. R. Sanghavi,Monika Kothari,Lakisha Jain,"Detection of grapes Disease(Downy Mildew)Based
On IOT and Image Processing",International Journal for Research in Engineering Application & Management (IJREAM),2454-9150,,Special Issue,May,2018,2017-18,IJREAM,ISSN : 2454-9150,UGC,https://www.ijream.org/papers/ICRTET0021.pdf,,1,,Computer
Student Paper,16,M. R. Sanghavi,Pooja Patil,Mrunal Bachhav,Smart Bus System,nternational Journal for Research in Engineering Application & Management (IJREAM),2454-9150,,Special Issue,May,2018,2017-18,IJREAM,ISSN : 2454-9150,UGC,https://www.ijream.org/papers/ICRTET0030.pdf,,1,,Computer
Student Paper,17,M. R. Sanghavi,Rachana Bamb,Sharda Pawar,Balloon Transport of Domestic Water,nternational Journal for Research in Engineering Application & Management (IJREAM),2454-9150,,Special Issue,May,2018,2017-18,IJREAM,ISSN : 2454-9150,UGC,https://www.ijream.org/papers/ICRTET0037.pdf,,1,,Computer
Faculty Paper,18,K.R.Nirmal,M. R. Sanghavi,-,"An outline of Tools and Technologies used for Big
Data Analytics",International Journal for Research in Engineering Application & Management (IJREAM),2454-9150,,Special Issue,May,2018,2017-18,IJREAM,ISSN : 2454-9150,UGC,https://www.ijream.org/papers/ICRTET0024.pdf,,5,,Computer
Faculty Paper PHD,19,K.M. Sanghavi,Dr. Mrs. A.M. Rajurkar,-,Review of GrapeDiseases,International Journal for Research in Engineering Application & Management (IJREAM),2454-9150,,Special Issue,May,2018,2017-18,IJREAM,ISSN : 2454-9150,UGC,https://www.ijream.org/papers/ICRTET0006.pdf,https://drive.google.com/file/d/14UmeQ326VaaB0pVqByAAfZsVbJppTpJn/view?usp=sharing,5,,Computer
Student Paper,20,K.M. Sanghavi,Sarita N. Bagul,Mayuri M. Ambure,"A combined approach of IOT and image processing
for the detection of Bacteria Blight disease on
Pomegranate
",International Journal for Research in Engineering Application & Management (IJREAM),2454-9150,,Special Issue,May,2018,2017-18,IJREAM,ISSN : 2454-9150,UGC,https://www.ijream.org/papers/ICRTET0032.pdf,,5,,Computer
Student Paper,21,B. A. Khivsara,"Mr. Umesh Khivsara, Web Developer,UK Valley, Nashik",-,Design and Implementation of Single Page Application Based on AngularJS,International Journal for Research in Engineering Application & Management (IJREAM),2454-9150,,Special Issue,May,2018,2017-18,IJREAM,ISSN : 2454-9150,UGC,https://www.ijream.org/papers/ICRTET0011.pdf,,5,,Computer
Student Paper,22,B. A. Khivsara,"Pooja Gawande
","Mayuri Dhanwate
",IOT Based Railway Disaster Management System,Second International Conference on Computing Methodologies and Communication (ICCMC),Print on Demand(PoD) ISBN: 978-1-5386-3453-0,,Special Issue,Feb,2018,2017-18,2018 Second International Conference on Computing Methodologies and Communication (ICCMC),IEEE ISBN: 978-1-5386-3452-3,,DOI: 10.1109/ICCMC.2018.8487802,,7,,Computer
Faculty Paper,23,D. R. Agrawal,NIL,NIL,Securing information on cloud platform using steganography,IJREAM,2454-9150,--,Special issue,May,2018,2017-18,IJREAM,ISSN : 2454-9150,UGC,https://www.ijream.org/papers/ICRTET0009.pdf,Click Here,5,,Computer
Faculty Paper,24,D. R. Agrawal,NIL,NIL,Roll of MOOC in indian education system,IJREAM,2454-9150,,Special issue,May,2018,2017-18,IJREAM,ISSN : 2454-9150,UGC,https://www.ijream.org/papers/ICRTET0028.pdf,Click Here,5,,Computer
Student Paper,25,D. P. Pawar,Mr.Jayesh Bafna,Ms.Samrudhhi Kothari,Linkedin Profile Extractor,JournalNX(A Multidisciplinary Peer Reviewed Journal),2581-4230,-,-,"February,",2019,2018-19,JournalNX,172-174,,,,0,,Computer
Faculty Paper PHD,26,R. R.Bhandari,Dr. K. Rajashekhar,,Priority-Mobility Aware Clustering Routing Algorithm for Lifetime Improvement of Dynamic Wireless Sensor Network,International Journal of Advanced Computer Science and Applications(IJACSA),2156-5570,12,2,,,2020-21,IJACSA,,"Scopus, ESCI",https://dx.doi.org/10.14569/IJACSA.2021.01202100,https://thesai.org/Downloads/Volume12No2/Paper_100-Priority_Mobility_Aware_Clustering_Routing_Algorithm.pdf,9,,Computer
Student Paper,27,M. R. Sanghavi,,Madhavi jain,A Survey on Border Security System Using  Cognitive Sensors (BSSCS),International Journal of Innovative Research in Computer and Communication Engineering,2320-9798|,,8,APR,2020,2019-20,IJIRCCE,4,,"A Survey on Border Security System Using

Cognitive Sensors (BSSCS)",,4,,Computer
Student Paper,28,M. R. Sanghavi,,Rajan Choudhari,"Automation in Water Reservoir Floodgates and 
Control Decision System",International Journal of Creative Research Thoughts (IJCRT),2320-2882,,8,APR,2020,2019-20,IJCRT,4,,"Automation in Water Reservoir Floodgates and

Control Decision System",,4,,Computer
Student Paper,29,M. R. Sanghavi,Srujal Sancheti,Bhakti Patel,SMART DOOR UNLOCK SYSTEM USING FACE RECOGNITION AND VOICE COMMANDS,International Research Journal of Engineering and Technology (IRJET),2395-0072,,7,June,2020,2019-20,IRJET,6,,"SMART DOOR UNLOCK SYSTEM USING FACE RECOGNITION AND VOICE

COMMANDS",,5,,Computer
Student Paper,30,M. R. Sanghavi,Mr.Pratik P.Firodiya,Miss.Samiksha P.Jain,WhatsApp Redundancy,International Journal of Innovative Research in Computer and Communication Engineering,2395-0072,,7,April,2020,2019-20,IRJET,6,,WhatsApp Redundancy,,5,,Computer
Student Paper,31,B. A. Khivsara,Kiran K Yadav,Rutuja Dawange,Smart Honking Zone for Smart City,International,2349-5162,3,7,Mar,2020,2019-20,"JETIR,",3,,http://www.jetir.org/papers/JETIR2003295.pdf 10.6084/m9.jetir.JETIR2003295,,0,,Computer
Student Paper,32,B. A. Khivsara,"Mr.Kakshil J.Jain,","Mr. Nilesh M. Shinde,",Smart Bus Ticket System,IRJET,2395-0072,1,7,Jan,2020,2019-20,IRJET(INTERNATIONAL RESEARCH JOURNAL OF ENGINEERING AND TECHNOLOGY),1,,Smart Bus Ticket System,,5,,Computer
Student Paper,33,B. A. Khivsara,Akshay Jain,Saloni Bothara,Prediction of Sales in SuperMarket,IRJET,2395-0072,2,7,Feb,2020,2019-20,IRJET(INTERNATIONAL RESEARCH JOURNAL OF ENGINEERING AND TECHNOLOGY),2,,Prediction of Sales in SuperMarket,,0,,Computer
Student Paper,34,D. P. Pawar,Miss. Khushboo K. Jain,Miss. Aishwarya D. Mahajan,PATIENT FACE RECOGNITION USING IOT,IRJET,2395-0072,,7,May,2020,2019-20,IRJET,6,,https://www.irjet.net/archives/V7/i5/IRJET-V7I5149.pdf,,0,,Computer
Faculty Paper PHD,35,R. R.Bhandari,Dr. K. Rajashekhar,,"Mobility Aware Clustering Routing Algorithm
(MACRON) to improve lifetime of Wireless
Sensor Network",International Journal of Recent Technology and Engineering (IJRTE),,,8,July,2019,2019-20,IJRTE,2,,https://www.ijrte.org/wp-content/uploads/papers/v8i2/A1368058119.pdf,,5,,Computer
Student Paper,36,S. B. Ambhore,Miss. Prajakta R. Aher,Miss. Chetana R. Sonawane,Virtual RTO for Smart City,International Journal on Innovations in Engineering Sciences and Technology,2395-0072,,7,March,2020,2019-20,IRJET,3,,"
www.irjet.net /archives/ IRJET-V7I3686.pdf
",,,,Computer
Student Paper,37,D. S. Rajnor,Miss Nikita Amrutkar,Miss Vrushali Pawar,"SMART POLLYHOUSE AUTOMATION SYSTEM
",INTERNATIONAL RESEARCH JOURNAL OF ENGINEERING AND TECHNOLOGY (IRJET),"P-ISSN: 2395-0072
",,7,April,2020,2019-20,IRJET,4,,https://www.irjet.net/archives/V7/i4/IRJET-V7I4185.pdf,,,,Computer
Student Paper,38,D. S. Rajnor,Mr. Yash M. Mutha,Mr. Krish M. Shah,"DRIVER MONITORING SYSTEM
",INTERNATIONAL RESEARCH JOURNAL OF ENGINEERING AND TECHNOLOGY (IRJET),"P-ISSN: 2395-0072
",,7,April,2020,2019-20,IRJET,4,,https://www.irjet.net/archives/V7/i4/IRJET-V7I4256.pdf,,,,Computer
Student Paper,39,N P Bora,Mr.Faizan L. Pathan,Mr. Kundan S. Kopulkar,Smart Transportation Monitoring System,International Research Journal of Engineering and Technology (IRJET),p-ISSN: 2395-0072,7,4,April,2020,2019-20,IRJET,1066-1069,,https://www.irjet.net/archives/V7/i4/IRJET-V7I4317.pdf,,,,Computer
Student Paper,40,A. J. Shakadwipi,Ayush D. Jain,"KULKARNI GAURAV,",SMART DOREBELL,NTERNATIONAL RESEARCH JOURNAL OF ENGINEERING AND TECHNOLOGY (IRJET),P-ISSN:2395-0072,2019-20,"VOL 7, ISSUE 3",March,2020,2019-20,IRJET,ISSUE 3,,https://www.irjet.net/archives/V7/i3/IRJET-V7I31101.pdf,,,,Computer
Student Paper,41,R. R.Bhandari,Khushbu S. Bafana,Nilam P. Bafna,IOT Based Smart Irrigation System (Internet of Farming),IJREAM,2454-9150,2018,Special Issue,May,2018,2017-18,IJREAM,,,https://www.ijream.org/papers/ICRTET0013.pdf,,,,Computer
Student Paper,42,R. R.Bhandari,Reshma G. Suryavanshi,"Madhuri S. Argade,",A load balancing model based on Cloud partitioning,International,2454-9150,2018,Special Issue,May,2018,2017-18,IJREAM,,,https://www.ijream.org/papers/ICRTET0002.pdf,,,,Computer
Faculty Paper,43,S. B. Ambhore,Nil,Nil,Automation-A New Threat (conference),International Journal for Research in Engineering Application & Management,2454-9150,2018,6th ICRTET’2018,,2018,2017-18,International Journal for Research in Engineering Application & Management,,,https://www.ijream.org/papers/ICRTET0179.pdf,,,,Computer
Faculty Paper,44,D. S. Rajnor,Nil,Nil,"Content Based Video Retrieval using Web Image of
Specific Action",International Journal for Research in Engineering Application & Management,,,Special Issue – ICRTET-2018,,2018,2017-18,(IJREAM),36-38,,www.ijream.org,,,,Computer
Faculty Paper,45,G. P. Dhomse,Nil,Nil,A Review Paper of Internet of Thing: Communication Protocol,International Journal for Research in Engineering Application & Management,2454-9150,2018,Special Issue – ICRTET-2018,,2018,2017-18,IJREAM,01-May,,https://www.ijream.org/papers/ICRTET0001.pdf,,,,Computer
Faculty Paper,46,A. J. Shakadwipi,nil,nil,Advancement in fraud detection system by biometric attributes,6th International Conference on Recent Trends in Engineering & Technology (ICRTET - 2018),2454-9150,2018,Special Issue – ICRTET-2018,,2018,2017-18,IJREAM,01-May,,https://www.ijream.org/papers/ICRTET0015.pdf,,,,Computer
Student Paper,47,A. L. Maind,Pallavi Vijay Gedam,Snehal Kashinath Chavan,KYC USING BLOCKCHAIN,IJREAM,2454-9150,2018,Special Issue – ICRTET-2018,,2018,2017-18,IJREAM,ISSN : 2454-9150,,https://www.ijream.org/papers/ICRTET0181.pdf,,,,Computer
Faculty Paper,48,M.D.Kawade,Prof.L.B.Randive,-,Robust Multiple Object Removal Using Exemplar-Based Inpainting,ICRTET 2014,,,,,,2013-14,,440-446,,-,https://docs.google.com/document/d/16ohC6NJr82KwDVa4ImfxmItCE-ye8gA-/edit?usp=sharing&ouid=118067854419369636999&rtpof=true&sd=true,,,Computer
Faculty Paper,49,M.D.Kawade,Prof.A.S.Ufade,-,Multiple Object Removal Using Exemplar-Based Image Inpainting,International Journal of Computer Science & Engineering Technology (IJCSET),2229-3345,May-14,"Vol 5,No5",May,May-14,2013-14,,3965-3970,,http://www.ijcset.com/docs/IJCSET14-05-05-005.pdf,https://drive.google.com/file/d/0B5Mij1k21dDMbW1sQjJscHp6czQ/view?usp=sharing&resourcekey=0-E8lUsKh1tDxFBmlN7LFNUg,,,Computer
Student Paper,50,M.D.Kawade,"Ms.Pagare Pooja M.,",-,SMART WATER DETECTION FOR BOREWELL,IJARIIE,2395-4396,4,2,April,2018,2017-18,,488-493,,http://ijariie.com/AdminUploadPdf/SMART_WATER_DETECTION_FOR__BOREWELL_ijariie8160.pdf,https://drive.google.com/file/d/1LafuFd2QAyoAveAk9TSqeMYK8rjq1Yev/view?usp=sharing,,,Computer
Faculty Paper,51,M.D.Kawade,Nil,-,Exemplar Based Video Inpainting,IJMTER,2349-9745,,,July,2015,2015-16,,311-314,,https://ijmter.com/published_special_issues/07-02-2015/exemplar-based-video-inpainting.pdf,https://drive.google.com/drive/u/1/folders/1IMv4AtKKjolDLUwSiyQYrlsL1N9TCQPy,,,Computer
Faculty Paper,52,M.D.Kawade,Prof.A.S.Ufade,-,Comparison of spatial domain and transformation domain image fusion technique for restoration of blur images,IJECSCSE,2277-9477,,,Feb,2013,2012-13,,93-96,,https://ijmter.com/published_special_issues/07-02-2015/exemplar-based-video-inpainting.pdf,https://drive.google.com/file/d/18Xh8t3HJ94F10OqtT2gPT_jT3vyiqloa/view?usp=sharing,,,Computer
Faculty Paper,53,N. S. Khairnar,M. R. Sanghavi,Mr Mahadev D. Kokate,Semi-Automated Time Table Builder using Google Spreadsheet,IJARSCT,2581-9429,"Volume 
7
",Issue 1,July,2020,2020-21,IJARSCT,94-98,,http://ijarsct.co.in/July1.html   paper 152,https://drive.google.com/drive/u/1/folders/15naa9lmw2n4S09uq6i_Db50RNr4oNYrp,,,Computer
Student Paper,54,N. S. Khairnar,"Sharmila Sonawane,","Urmila Shinde,
",Survey on Fabric Fault Detection System,IJIRCCE,"2320-9801, (p)
2320-9798",Volume  8,Issue 4,April,2020,2019-20,IJIRCCE,751-755,,http://ijircce.com/upload/2020/april/2_SURVEY_NC.PDF,https://drive.google.com/drive/u/1/folders/1FoJK-IoawdcSMcDJj2Veo69a6ft2hmXi,,,Computer
Student Paper,55,N. S. Khairnar,Mr Rahul S. Khairnar,,IOT Based Electricity Theft Detection,IJREAM,2454-9150,,Special Issue,May,2018,2017-18,IJREAM,75-78,,https://www.ijream.org/papers/ICRTET0016.pdf,https://drive.google.com/drive/u/1/folders/1ez3aNJ5_77l5vYqIZC0hBFz2gxQ-EYwU,,,Computer
Faculty Paper,56,N. S. Khairnar,Prof D. B. Khsirsagar,,Information Theoretic Outlier Detection for Categorical Data,IJMTER,ISSN 2393-8161,Vol-2,Issue-7,July,2015,2015-16,IJMTER,347-352,,https://www.ijmter.com/published_special_issues/07-02-2015/information-theoretic-outlier-detection-for-categorical-data.pdf,https://drive.google.com/drive/u/1/folders/1v_aMqxJZvA_dPeNyIQYO1UGVTeZW_3W2,,,Computer
Faculty Paper,57, N. S. Khairnar,"Ms Raina K Jain,",Monika Bhatnagar,A Survey on Behavioral Biometric Techniques: Mouse vs Keyboard Dynamics,IJCA,"ISBN 973-93-80874-55-9
 (0975-8887)",,,Feb,2013,2012-13,IJCA,27-30,,https://research.ijcaonline.org/icrtet/number5/icrtet1359.pdf,https://drive.google.com/drive/u/1/folders/1rSKDzvJNRqv0a9FIFqwpS0DIbjVPLhn4,,,Computer
Student Paper,58,A.R. Brahmecha,Mr. Nilesh Bhamare2,", Mr. Nikhil Aher3","Lecture Evalution Using Face Expression
Recognition",ijircce,"e-ISSN: 2319-8753, p-ISSN: 2320-6710",10,2,Feb-21,2020-21,2020-21,IJIRSET,1058,,10.15680/IJIRSET.2021.10020063,,5,,Computer
Student Paper,59,A.R. Brahmecha,Ankit Muthekar,Sanket Punjabi,Survey on Online Hostel Booking Application,ijircce,"e-ISSN: 2320-9801, p-ISSN: 2320-9798",9,5,May,2020-21,2020-21,ijircce,5920,,DOI: 10.15680/IJIRCCE.2021.0905245,,Link not working,,Computer
Faculty Paper,60,N P Bora,Samidha D. Sharma,-,Handwritten 3D Animated CAPTCHA,International Journal of Computer Applications,973-93-80874-53-2h,975,,July,2013,2013-14,,8887,,http://research.ijcaonline.org/icrtet/number3/icrtet1336.pdf,,,,Computer
Faculty Paper,61,N P Bora,Dr. Samidha D. Sharma,,“3d Handwritten Animated Captcha Algorithm: Web Security”,International Journal of Engineering Research & Technology (IJERT),"2278-0181

",2,10,October,2013,2013-14,International Journal of Engineering Research & Technology (IJERT),2278-0181,,http://www.ijert.org/view-pdf/5795/3d-handwritten-animated-captcha-algorithm-web-security,,,,Computer
Faculty Paper,62,N P Bora,,,“Animated Handwritten CAPTCHA based on 3D Effect.”,International Journal of Modern Trends in Engineering and Research,e-ISSN No.:2349-9745,2,7,July,2015,2015-16,International Journal of Modern Trends in Engineering and Research,326-331,,http://www.ijmter.com/published_special_issues/07-02-2015/animated-handwritten-captcha-based-on-3d-effect.pdf,,,,Computer
Student Paper,63,N P Bora,Paritosh G.Kulkarni,Adesh P.Chopda,"”Carp- A New Security Primitive Based On Hard AI Problems”



",International Journal of Modern Trends in Engineering and Research,e-ISSN No.:2349-9745,3,4,April,2016,2015-16,International Journal of Modern Trends in Engineering and Research,101-105,,http://www.ijmter.com/published_special_issues/28-04-2016/carp-a-new-security-primitive-based-on-hard-ai-problems.pdf,,,,Computer
